1790182120.024 事件到画完 样本1412 无需重画3 p50=18.50ms p90=30.48ms p99=39.10ms max=43.77ms
1790182130.217 事件到画完 样本1444 无需重画3 p50=18.60ms p90=30.48ms p99=39.10ms max=43.77ms
1790182140.325 事件到画完 样本1470 无需重画3 p50=18.80ms p90=30.48ms p99=39.10ms max=43.77ms
1790182150.404 事件到画完 样本1496 无需重画3 p50=18.92ms p90=30.47ms p99=39.09ms max=43.77ms
1790182160.475 事件到画完 样本1527 无需重画3 p50=18.84ms p90=30.47ms p99=39.08ms max=43.77ms
1790182170.647 事件到画完 样本1556 无需重画3 p50=18.86ms p90=30.47ms p99=39.07ms max=43.77ms
1790182180.741 事件到画完 样本1585 无需重画3 p50=18.80ms p90=30.47ms p99=39.06ms max=43.77ms
1790182190.810 事件到画完 样本1616 无需重画3 p50=18.68ms p90=30.47ms p99=39.10ms max=43.77ms
1790182201.194 事件到画完 样本1645 无需重画3 p50=18.54ms p90=30.47ms p99=39.36ms max=43.77ms
1790182211.986 事件到画完 样本1678 无需重画3 p50=18.54ms p90=30.47ms p99=39.36ms max=43.77ms
1790182222.067 事件到画完 样本1711 无需重画3 p50=18.54ms p90=30.47ms p99=39.37ms max=44.02ms
1790182232.069 事件到画完 样本1742 无需重画3 p50=18.60ms p90=30.47ms p99=39.36ms max=44.02ms
1790182242.424 事件到画完 样本1776 无需重画3 p50=18.60ms p90=30.49ms p99=39.36ms max=44.02ms
1790182252.662 事件到画完 样本1811 无需重画3 p50=18.61ms p90=30.51ms p99=39.33ms max=44.02ms
1790182262.755 事件到画完 样本1841 无需重画3 p50=18.60ms p90=30.55ms p99=39.36ms max=44.02ms
1790182272.843 事件到画完 样本1868 无需重画3 p50=18.54ms p90=30.49ms p99=39.36ms max=44.02ms
1790182282.864 事件到画完 样本1900 无需重画3 p50=18.50ms p90=30.48ms p99=39.36ms max=44.02ms
1790182292.937 事件到画完 样本1929 无需重画3 p50=18.48ms p90=30.51ms p99=39.29ms max=44.02ms
1790182303.019 事件到画完 样本1960 无需重画3 p50=18.39ms p90=30.48ms p99=39.21ms max=44.02ms
1790182313.071 事件到画完 样本1990 无需重画3 p50=18.39ms p90=30.51ms p99=39.23ms max=44.02ms
1790182323.263 事件到画完 样本2017 无需重画4 p50=18.37ms p90=30.51ms p99=39.19ms max=44.02ms
1790182333.267 事件到画完 样本2042 无需重画4 p50=18.35ms p90=30.54ms p99=39.17ms max=44.02ms
1790182343.795 事件到画完 样本2070 无需重画4 p50=18.38ms p90=30.63ms p99=39.14ms max=44.02ms
