symbol,route,route_after_fix,ticker,multiplier,binance_price,cg_id,cg_price,price_ratio,identity,shown_cap_usd,right_cg_id,right_cap_usd,cap_error_x,same_ticker_ids
4USDT,coingecko-原名,coingecko-原名-单价核对通过,4,1.0,0.023606,4-2,0.02366005,0.9977155585047369,对,23606000.0,4-2,23606000.0,1.0,4-2
GIGGLEUSDT,binance-原名,binance-原名,GIGGLE,1.0,40.66,,,,,,,,,
MONUSDT,coingecko-原名,coingecko-原名-单价核对通过,MON,1.0,0.02568,monad,0.02587477,0.9924725900945207,对,303670237.2,monad,303670237.2,1.0,monad
YBUSDT,binance-原名,binance-原名,YB,1.0,0.09338,,,,,,,,,
METUSDT,binance-原名,binance-原名,MET,1.0,0.3838,,,,,,,,,
EULUSDT,binance-原名,binance-原名,EUL,1.0,1.4707,,,,,,,,,
ENSOUSDT,binance-原名,binance-原名,ENSO,1.0,1.0421,,,,,,,,,
CLOUSDT,查不到,查不到,,1.0,0.06295,,,,,,,,,
RECALLUSDT,查不到,查不到,,1.0,0.0486,,,,,,,,,
ZBTUSDT,binance-原名,binance-原名,ZBT,1.0,0.09075,,,,,,,,,
LABUSDT,coingecko-原名,coingecko-原名-单价核对通过,LAB,1.0,0.06014,lab,0.060242,0.9983068291225391,对,46641147.35984,lab,46641147.35984,1.0,lab
RIVERUSDT,coingecko-原名,coingecko-原名-单价核对通过,RIVER,1.0,1.255,river,1.26,0.9960317460317459,对,24597999.999999996,river,24597999.999999996,1.0,river
币安人生USDT,binance-原名,binance-原名,USDT,1.0,0.5108,,,,,,,,,
BLUAIUSDT,查不到,查不到,,1.0,0.011535,,,,,,,,,
TURTLEUSDT,binance-原名,binance-原名,TURTLE,1.0,0.04447,,,,,,,,,
APRUSDT,coingecko-原名,coingecko-原名-单价核对通过,APR,1.0,0.1501,apriori,0.149653,1.002986909717814,对,41699656.25,apriori,41699656.25,1.0,apriori
ONUSDT,coingecko-原名,coingecko-原名-单价核对通过,ON,1.0,0.1336,orochi-network,0.133226,1.0028072598441744,对,19275140.0,orochi-network,19275140.0,1.0,orochi-network
KITEUSDT,binance-原名,binance-原名,KITE,1.0,0.13521,,,,,,,,,
ATUSDT,binance-原名,binance-原名,AT,1.0,0.1637,,,,,,,,,
CCUSDT,coingecko-原名,coingecko-原名-单价核对通过,CC,1.0,0.11213,canton-network,0.112258,0.9988597694596376,对,4447777465.68992,canton-network,4447777465.68992,1.0,canton-network
MMTUSDT,binance-原名,binance-原名,MMT,1.0,0.1699,,,,,,,,,
TRUSTUSDT,查不到,查不到,,1.0,0.0632,,,,,,,,,
UAIUSDT,coingecko-原名,coingecko-原名-单价核对通过,UAI,1.0,0.3946,unifai-network,0.393773,1.0021001947822732,对,94309400.0,unifai-network,94309400.0,1.0,unifai-network
FOLKSUSDT,coingecko-原名,coingecko-原名-单价核对通过,FOLKS,1.0,2.4,folks,2.39,1.00418410041841,对,43164332.216443196,folks,43164332.216443196,1.0,folks
STABLEUSDT,coingecko-原名,coingecko-原名-单价核对通过,STABLE,1.0,0.02533,stable-2,0.02528686,1.0017060243936968,对,673231606.8739599,stable-2,673231606.8739599,1.0,stable-2
JCTUSDT,coingecko-原名,coingecko-原名-单价核对通过,JCT,1.0,0.001903,janction,0.00189339,1.0050755523162158,对,21872487.3125,janction,21872487.3125,1.0,janction
ALLOUSDT,binance-原名,binance-原名,ALLO,1.0,0.34229,,,,,,,,,
CLANKERUSDT,查不到,查不到,,1.0,14.0,,,,,,,,,
BEATUSDT,coingecko-原名,coingecko-原名-单价核对通过,BEAT,1.0,0.0942,audiera,0.095179,0.9897141176099771,对,32194419.937200002,audiera,32194419.937200002,1.0,audiera
PIEVERSEUSDT,coingecko-原名,coingecko-原名-单价核对通过,PIEVERSE,1.0,1.7618,pieverse,1.78,0.9897752808988765,对,484054550.0,pieverse,484054550.0,1.0,pieverse
SENTUSDT,binance-原名,binance-原名,SENT,1.0,0.0235,,,,,,,,,
ZECUSDC,binance-原名,binance-原名,ZEC,1.0,1622.09,,,,,,,,,
IRYSUSDT,coingecko-原名,coingecko-原名-单价核对通过,IRYS,1.0,0.01636,irys,0.01631145,1.0029764367974643,对,32720000.0,irys,32720000.0,1.0,irys
POWERUSDT,coingecko-原名,coingecko-原名-单价核对通过,POWER,1.0,0.12517,power-protocol,0.125329,0.9987313391154482,对,26285700.0,power-protocol,26285700.0,1.0,power-protocol
WETUSDT,查不到,查不到,,1.0,0.07027,,,,,,,,,
NIGHTUSDT,binance-原名,binance-原名,NIGHT,1.0,0.02447,,,,,,,,,
USUSDT,coingecko-原名,coingecko-原名-单价核对通过,US,1.0,0.018418,talus,0.01859075,0.9907077444428009,对,53641341.59125409,talus,53641341.59125409,1.0,talus
CYSUSDT,coingecko-原名,coingecko-原名-单价核对通过,CYS,1.0,0.17,cysic,0.169848,1.0008949178088644,对,27336000.000000004,cysic,27336000.000000004,1.0,cysic
RAVEUSDT,coingecko-原名,coingecko-原名-单价核对通过,RAVE,1.0,0.2065,ravedao,0.206923,0.9979557613218443,对,55801462.2935,ravedao,55801462.2935,1.0,ravedao
ZKPUSDT,binance-原名,binance-原名,ZKP,1.0,0.05084,,,,,,,,,
GUAUSDT,查不到,查不到,,1.0,0.03622,,,,,,,,,
LITUSDT,coingecko-原名,coingecko-原名-单价核对通过,LIT,1.0,5.1728,lighter,5.14,1.0063813229571985,对,1293200000.0,lighter,1293200000.0,1.0,lighter
BREVUSDT,binance-原名,binance-原名,BREV,1.0,0.08976,,,,,,,,,
COLLECTUSDT,查不到,查不到,,1.0,0.01945,,,,,,,,,
MAGMAUSDT,coingecko-原名,coingecko-原名-单价核对通过,MAGMA,1.0,0.27298,magma-finance,0.272672,1.0011295622579508,对,51866200.0,magma-finance,51866200.0,1.0,magma-finance
ZAMAUSDT,binance-原名,binance-原名,ZAMA,1.0,0.09894,,,,,,,,,
FOGOUSDT,binance-原名,binance-原名,FOGO,1.0,0.006991,,,,,,,,,
FRAXUSDT,binance-原名,binance-原名,FRAX,1.0,0.2959,,,,,,,,,
SPORTFUNUSDT,查不到,查不到,,1.0,0.02083,,,,,,,,,
AIAUSDT,查不到,查不到,,1.0,0.07224,,,,,,,,,
ACUUSDT,coingecko-原名,coingecko-原名-单价核对通过,ACU,1.0,0.12487,acurast,0.124165,1.0056779285627995,对,48737191.67663,acurast,48737191.67663,1.0,acurast
我踏马来了USDT,binance-原名,binance-原名,USDT,1.0,0.014206,,,,,,,,,
ELSAUSDT,查不到,查不到,,1.0,0.05839,,,,,,,,,
SKRUSDT,coingecko-原名,coingecko-原名-单价核对通过,SKR,1.0,0.021056,seeker,0.02117169,0.9945356275290257,对,149681694.08378842,seeker,149681694.08378842,1.0,seeker
SPACEUSDT,coingecko-原名,coingecko-原名-单价核对通过,SPACE,1.0,0.005146,spacecoin-2,0.00513988,1.0011906892767926,对,30972183.80454673,spacecoin-2,30972183.80454673,1.0,spacecoin-2
FIGHTUSDT,查不到,查不到,,1.0,0.004928,,,,,,,,,
BIRBUSDT,coingecko-原名,coingecko-原名-单价核对通过,BIRB,1.0,0.07361,moonbirds,0.073785,0.9976282442230805,对,20978850.0,moonbirds,20978850.0,1.0,moonbirds
GWEIUSDT,coingecko-原名,coingecko-原名-单价核对通过,GWEI,1.0,0.02412,ethgas-2,0.02419045,0.9970876936973062,对,47757600.0,ethgas-2,47757600.0,1.0,ethgas-2
MEGAUSDT,binance-原名,binance-原名,MEGA,1.0,0.04827,,,,,,,,,
INXUSDT,查不到,查不到,,1.0,0.006232,,,,,,,,,
TRIAUSDT,查不到,查不到,,1.0,0.004228,,,,,,,,,
ESPUSDT,binance-原名,binance-原名,ESP,1.0,0.09576,,,,,,,,,
AZTECUSDT,coingecko-原名,coingecko-原名-单价核对通过,AZTEC,1.0,0.01651,aztec,0.0165052,1.0002908174393523,对,48397536.62918071,aztec,48397536.62918071,1.0,aztec
OPNUSDT,binance-原名,binance-原名,OPN,1.0,0.05353,,,,,,,,,
ROBOUSDT,binance-原名,binance-原名,ROBO,1.0,0.00995,,,,,,,,,
KATUSDT,binance-原名,binance-原名,KAT,1.0,0.005093,,,,,,,,,
MANTRAUSDT,binance-原名,binance-原名,MANTRA,1.0,0.00457,,,,,,,,,
龙虾USDT,binance-原名,binance-原名,USDT,1.0,0.162,,,,,,,,,
CFGUSDT,binance-原名,binance-原名,CFG,1.0,0.1453,,,,,,,,,
EDGEUSDT,查不到,查不到,,1.0,0.5962,,,,,,,,,
BSBUSDT,coingecko-原名,coingecko-原名-单价核对通过,BSB,1.0,0.10767,block-street,0.107864,0.9982014388489209,对,25442421.0,block-street,25442421.0,1.0,block-street
XAUTUSDT,binance-原名,binance-原名,XAUT,1.0,4302.63,,,,,,,,,
BASEDUSDT,查不到,查不到,,1.0,0.06859,,,,,,,,,
PRLUSDT,coingecko-原名,coingecko-原名-单价核对通过,PRL,1.0,0.119,perle,0.118727,1.0022993927244856,对,20825000.0,perle,20825000.0,1.0,perle
GENIUSUSDT,binance-原名,binance-原名,GENIUS,1.0,0.3597,,,,,,,,,
CHIPUSDT,binance-原名,binance-原名,CHIP,1.0,0.04593,,,,,,,,,
OPGUSDT,binance-原名,binance-原名,OPG,1.0,0.1286,,,,,,,,,
AIGENSYNUSDT,binance-原名,binance-原名,AIGENSYN,1.0,0.02121,,,,,,,,,
BILLUSDT,coingecko-原名,coingecko-原名-单价核对通过,BILL,1.0,0.01339,billions-network,0.0133976,0.9994327342210545,对,32510920.000000004,billions-network,32510920.000000004,1.0,billions-network
PHAROSUSDT,查不到,查不到,,1.0,0.5466,,,,,,,,,
STARUSDT,查不到,查不到,,1.0,0.03651,,,,,,,,,
BTCUSD1,查不到,查不到,,1.0,85435.5,,,,,,,,,
CTRUSDT,coingecko-原名,coingecko-原名-单价核对通过,CTR,1.0,0.012492,citrea,0.01241041,1.0065743194624512,对,18738000.0,citrea,18738000.0,1.0,citrea
SLXUSDT,coingecko-原名,coingecko-原名-单价核对通过,SLX,1.0,0.07341,solstice,0.073332,1.0010636557028312,对,17827266.132,solstice,17827266.132,1.0,solstice
ZESTUSDT,coingecko-原名,coingecko-原名-单价核对通过,ZEST,1.0,0.18531,zest-protocol,0.185322,0.9999352478388968,对,27055260.0,zest-protocol,27055260.0,1.0,zest-protocol
BTWUSDT,coingecko-原名,coingecko-原名-单价核对通过,BTW,1.0,0.9651,bitway,0.955239,1.010323070980142,对,2613628114.428001,bitway,2613628114.428001,1.0,bitway
REUSDT,binance-原名,binance-原名,RE,1.0,0.4769,,,,,,,,,
ARXUSDT,查不到,查不到,,1.0,0.2155,,,,,,,,,
OUSDT,coingecko-原名,coingecko-原名-单价核对通过,O,1.0,0.5627,o1-exchange,0.561756,1.0016804448906642,对,90032000.0,o1-exchange,90032000.0,1.0,o1-exchange
CAPUSDT,coingecko-原名,coingecko-原名-单价核对通过,CAP,1.0,0.04877,cap-4,0.04849455,1.0056800197135556,对,76081200.0,cap-4,76081200.0,1.0,cap-4
BTCU,查不到,查不到,,1.0,85421.1,,,,,,,,,
ETHU,查不到,查不到,,1.0,2718.01,,,,,,,,,
GRAMUSDT,binance-原名,binance-原名,GRAM,1.0,1.441,,,,,,,,,
ETHUSD1,查不到,查不到,,1.0,2716.54,,,,,,,,,
DATAIPUSDT,查不到,查不到,,1.0,0.2256,,,,,,,,,
DATAIPUSDC,查不到,查不到,,1.0,0.2255,,,,,,,,,
GRVTUSDT,coingecko-原名,coingecko-原名-单价核对通过,GRVT,1.0,0.1987,grvt,0.198298,1.0020272519137863,对,22713859.573599998,grvt,22713859.573599998,1.0,grvt
DOSUSDT,coingecko-原名,coingecko-原名-单价核对通过,DOS,1.0,0.2255,dappos,0.224979,1.002315771694247,对,45100000.0,dappos,45100000.0,1.0,dappos
牛来USDT,binance-原名,binance-原名,USDT,1.0,0.10749,,,,,,,,,
MARSCOINUSDT,binance-原名,binance-原名,MARSCOIN,1.0,0.12652,,,,,,,,,
PONSUSDT,coingecko-原名,coingecko-原名-单价核对通过,PONS,1.0,0.6965,pons,0.69932,0.9959675112966881,对,476650480.2019665,pons,476650480.2019665,1.0,pons
哈基米USDT,binance-原名,binance-原名,USDT,1.0,0.03647,,,,,,,,,
